"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9363","testCheckoutPayment()","","Mon Apr 20 06:13:50 UTC 2026","failed","Mon Apr 20 06:14:00 UTC 2026","","com.selfhealing.RetailWebsiteTest","com.selfhealing.RetailWebsiteTest","testCheckoutPayment"
"","1936","testNavigationToProducts()","","Mon Apr 20 06:13:48 UTC 2026","passed","Mon Apr 20 06:13:50 UTC 2026","","com.selfhealing.RetailWebsiteTest","com.selfhealing.RetailWebsiteTest","testNavigationToProducts"
"","9603","testSettingsAndSignOut()","","Mon Apr 20 06:14:00 UTC 2026","failed","Mon Apr 20 06:14:09 UTC 2026","","com.selfhealing.RetailWebsiteTest","com.selfhealing.RetailWebsiteTest","testSettingsAndSignOut"
"","904","testAddProductToCart()","","Mon Apr 20 06:13:50 UTC 2026","passed","Mon Apr 20 06:13:50 UTC 2026","","com.selfhealing.RetailWebsiteTest","com.selfhealing.RetailWebsiteTest","testAddProductToCart"
"","4865","testUserLoginHealing()","","Mon Apr 20 06:13:43 UTC 2026","passed","Mon Apr 20 06:13:48 UTC 2026","","com.selfhealing.RetailWebsiteTest","com.selfhealing.RetailWebsiteTest","testUserLoginHealing"
