"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9589","testSettingsAndSignOut()","","Mon Apr 20 05:03:41 UTC 2026","failed","Mon Apr 20 05:03:51 UTC 2026","","com.selfhealing.RetailWebsiteTest","com.selfhealing.RetailWebsiteTest","testSettingsAndSignOut"
"","1954","testNavigationToProducts()","","Mon Apr 20 05:03:29 UTC 2026","passed","Mon Apr 20 05:03:31 UTC 2026","","com.selfhealing.RetailWebsiteTest","com.selfhealing.RetailWebsiteTest","testNavigationToProducts"
"","9379","testCheckoutPayment()","","Mon Apr 20 05:03:32 UTC 2026","failed","Mon Apr 20 05:03:41 UTC 2026","","com.selfhealing.RetailWebsiteTest","com.selfhealing.RetailWebsiteTest","testCheckoutPayment"
"","894","testAddProductToCart()","","Mon Apr 20 05:03:31 UTC 2026","passed","Mon Apr 20 05:03:32 UTC 2026","","com.selfhealing.RetailWebsiteTest","com.selfhealing.RetailWebsiteTest","testAddProductToCart"
"","4888","testUserLoginHealing()","","Mon Apr 20 05:03:24 UTC 2026","passed","Mon Apr 20 05:03:29 UTC 2026","","com.selfhealing.RetailWebsiteTest","com.selfhealing.RetailWebsiteTest","testUserLoginHealing"
