"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9557","testNavigationToProducts()","","Sat Apr 18 22:16:16 UTC 2026","failed","Sat Apr 18 22:16:26 UTC 2026","","com.selfhealing.RetailWebsiteTest","com.selfhealing.RetailWebsiteTest","testNavigationToProducts"
"","9560","testSettingsAndSignOut()","","Sat Apr 18 22:16:36 UTC 2026","failed","Sat Apr 18 22:16:46 UTC 2026","","com.selfhealing.RetailWebsiteTest","com.selfhealing.RetailWebsiteTest","testSettingsAndSignOut"
"","904","testAddProductToCart()","","Sat Apr 18 22:16:26 UTC 2026","passed","Sat Apr 18 22:16:27 UTC 2026","","com.selfhealing.RetailWebsiteTest","com.selfhealing.RetailWebsiteTest","testAddProductToCart"
"","12607","testUserLoginHealing()","","Sat Apr 18 22:16:04 UTC 2026","failed","Sat Apr 18 22:16:16 UTC 2026","","com.selfhealing.RetailWebsiteTest","com.selfhealing.RetailWebsiteTest","testUserLoginHealing"
"","9346","testCheckoutPayment()","","Sat Apr 18 22:16:27 UTC 2026","failed","Sat Apr 18 22:16:36 UTC 2026","","com.selfhealing.RetailWebsiteTest","com.selfhealing.RetailWebsiteTest","testCheckoutPayment"
